Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-26 15:44:27.133 -0400,"Failure",0:00:06,1,0,0,"20240326_154427.133/LogFile.txt","","Workbook Error -- Error loading workbook C:/ScriptRepositories/OpenEMR.suite/Resources/data_OREG-1.xlsx: No such file or directory.",0
2024-03-26 15:47:16.534 -0400,"Failure",0:00:32,1,0,1,"20240326_154716.534/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: WindowsRunIcon",0
2024-07-11 12:32:28.167 -0400,"Failure",0:02:35,1,1,0,"20240711_123228.167/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'firstname'",1
2024-07-11 12:46:30.349 -0400,"Failure",0:25:25,1,0,2,"20240711_124630.349/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: Win10_StartButton",0
2024-07-17 13:08:45.907 -0400,"Failure",0:00:05,1,0,0,"20240717_130845.907/LogFile.txt","","Connection Failed -- Unable to connect to Server:New Tower on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2024-07-17 13:09:17.705 -0400,"Aborted",0:04:09,1,0,0,"20240717_130917.705/LogFile.txt","","",3
2024-07-17 13:35:17.091 -0400,"Aborted",0:03:32,1,4,0,"20240717_133517.091/LogFile.txt","","",2
2024-07-17 13:39:22.532 -0400,"Aborted",0:02:43,1,5,0,"20240717_133922.532/LogFile.txt","","",3
2024-07-17 13:42:16.525 -0400,"Aborted",0:01:48,1,0,0,"20240717_134216.525/LogFile.txt","","",2
2024-07-17 13:45:28.499 -0400,"Aborted",0:01:23,1,0,0,"20240717_134528.499/LogFile.txt","","",2
2024-07-17 22:21:36.910 -0400,"Aborted",0:02:28,1,0,0,"20240717_222136.910/LogFile.txt","","",0
2024-07-17 22:38:09.912 -0400,"Aborted",0:11:28,1,0,0,"20240717_223809.912/LogFile.txt","","",1
2024-07-17 22:49:41.869 -0400,"Aborted",0:14:47,1,0,0,"20240717_224941.869/LogFile.txt","","",1
2024-07-18 09:39:46.395 -0400,"Aborted",0:01:06,1,0,1,"20240718_093946.395/LogFile.txt","","",0
2024-07-18 09:41:35.159 -0400,"Failure",0:01:14,1,0,2,"20240718_094135.159/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: XAMPP_Icon_sm",0
2024-07-18 09:46:51.724 -0400,"Aborted",0:02:00,1,1,1,"20240718_094651.724/LogFile.txt","","",2
2024-07-18 09:56:39.388 -0400,"Aborted",0:00:28,1,0,0,"20240718_095639.388/LogFile.txt","","",0
2024-07-18 10:05:32.802 -0400,"Aborted",0:04:41,1,1,2,"20240718_100532.802/LogFile.txt","","",2
2024-07-18 11:23:55.926 -0400,"Aborted",0:03:07,1,1,1,"20240718_112355.926/LogFile.txt","","",2
